INFO 2020-09-06 10:57:07,996 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) -->113 |_internal 
INFO 2020-09-06 10:57:08,017 -  * Restarting with stat -->113 |_internal 
WARNING 2020-09-06 10:57:08,416 -  * Debugger is active! -->113 |_internal 
INFO 2020-09-06 10:57:08,419 -  * Debugger PIN: 234-954-478 -->113 |_internal 
INFO 2020-09-06 10:57:26,623 - 127.0.0.1 - - [06/Sep/2020 10:57:26] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 10:58:04,934 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->37 |forms 
INFO 2020-09-06 10:58:04,943 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 213.69006752597977, 296.565051177078, 326.30993247402023], 'time taken': '0:00:00.001982'} -->243 |forms 
INFO 2020-09-06 10:58:04,948 - 127.0.0.1 - - [06/Sep/2020 10:58:04] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 10:58:09,160 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->37 |forms 
INFO 2020-09-06 10:58:09,163 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 213.69006752597977, 296.565051177078, 326.30993247402023], 'time taken': '0:00:00.000960'} -->243 |forms 
INFO 2020-09-06 10:58:09,165 - 127.0.0.1 - - [06/Sep/2020 10:58:09] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 11:01:36,255 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->37 |forms 
INFO 2020-09-06 11:01:36,257 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 213.69006752597977, 296.565051177078, 326.30993247402023], 'time taken': '0:00:00.001342'} -->243 |forms 
INFO 2020-09-06 11:01:36,259 - 127.0.0.1 - - [06/Sep/2020 11:01:36] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 11:01:38,146 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->37 |forms 
INFO 2020-09-06 11:01:38,150 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 213.69006752597977, 296.565051177078, 326.30993247402023], 'time taken': '0:00:00.001027'} -->243 |forms 
INFO 2020-09-06 11:01:38,152 - 127.0.0.1 - - [06/Sep/2020 11:01:38] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 11:01:42,972 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->37 |forms 
INFO 2020-09-06 11:01:42,975 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 213.69006752597977, 296.565051177078, 326.30993247402023], 'time taken': '0:00:00.001324'} -->243 |forms 
INFO 2020-09-06 11:01:42,976 - 127.0.0.1 - - [06/Sep/2020 11:01:42] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 11:01:48,576 - Request : {'ply': 'bot', 'dim': '3,2', 'pp': '1,1', 'tp': '2,1', 'dist': '4'} -->37 |forms 
INFO 2020-09-06 11:01:48,580 - Response : {'player': 'bot', 'no_of_direction': 7, 'angles': [0.0, 63.43494882292201, 33.690067525979785, 146.30993247402023, 213.69006752597977, 296.565051177078, 326.30993247402023], 'time taken': '0:00:00.000847'} -->243 |forms 
INFO 2020-09-06 11:01:48,581 - 127.0.0.1 - - [06/Sep/2020 11:01:48] "[37mPOST / HTTP/1.1[0m" 200 - -->113 |_internal 
INFO 2020-09-06 11:49:27,959 -  * Detected change in '/home/susi/github/Project/df_engine/engine/routes.py', reloading -->113 |_internal 
INFO 2020-09-06 11:49:28,023 -  * Restarting with stat -->113 |_internal 
